,id,lat,lon,alt,state,name,mlow,mhigh
69,188000,38.365,-75.5892,3.0,MD,SALISBURY,47,67
70,172765,44.6889,-70.1567,128.0,ME,FARMINGTON,31,54
71,200230,42.2947,-83.7108,274.3,MI,ANN-ARBOR,39,58
72,200779,43.7072,-85.4822,283.5,MI,BIG-RAPIDS,35,56
73,201675,41.9622,-84.9925,299.9,MI,COLDWATER,38,58
74,202423,44.2839,-83.5036,178.6,MI,EAST-TAWAS,34,54
75,204104,46.4656,-90.1892,435.9,MI,IRONWOOD,30,50
76,212698,43.6447,-94.4656,361.8,MN,FAIRMONT,35,55
77,215638,45.5903,-95.8747,347.5,MN,MORRIS,31,53
78,216565,44.0139,-96.3258,519.7,MN,PIPESTONE,32,55
79,217405,44.3222,-93.9656,259.1,MN,ST-PETER,34,56
80,219249,44.2992,-92.6661,300.2,MN,ZUMBROTA,33,56
81,231037,39.4247,-93.1331,201.8,MO,BRUNSWICK,43,65
82,235976,36.8639,-94.36,308.2,MO,NEOSHO,45,69
83,238051,39.9714,-91.8872,210.3,MO,STEFFENVILLE,42,64
84,220021,33.83,-88.5214,60.4,MS,ABERDEEN,51,75
85,221707,34.1864,-90.5572,52.7,MS,CLARKSDALE,52,73
86,223887,31.2547,-89.3392,117.3,MS,HATTIESBURG,54,78
87,224776,33.0583,-89.5797,125.0,MS,KOSCIUSKO,51,75
88,225987,31.5519,-90.1058,58.2,MS,MONTICELLO,52,77
89,226177,31.5889,-91.3408,59.4,MS,NATCHEZ,55,77
90,241044,45.6622,-111.0453,1497.5,MT,BOZEMAN,31,55
91,241552,47.2194,-111.71,1024.1,MT,CASCADE,32,58
92,241722,48.5883,-109.2256,737.6,MT,CHINOOK,28,57
93,242173,48.6033,-112.3753,1169.8,MT,CUT-BANK,29,53
94,242409,45.2128,-112.6447,1593.5,MT,DILLON,29,58
95,242689,45.8903,-104.5461,1043.9,MT,EKALAKA,31,57
96,244345,45.9228,-108.2444,924.8,MT,HUNTLEY,31,60
97,244558,48.3042,-114.2636,901.3,MT,KALISPELL-GLACIER,32,54
98,245761,47.0575,-109.9514,1310.6,MT,MOCCASIN,30,55
99,246918,45.1797,-109.2497,1718.2,MT,RED-LODGE,29,53
100,247382,47.4536,-104.3378,602.0,MT,SAVAGE,30,57
101,312635,36.0164,-76.5517,3.0,NC,EDENTON,50,71
102,313017,35.0583,-78.8583,29.3,NC,FAYETTEVILLE,49,73
103,314055,35.0536,-83.1892,1170.4,NC,HIGHLANDS,42,62
104,315123,36.1028,-78.3039,79.2,NC,LOUISBURG,45,71
105,317615,35.6836,-80.4822,213.4,NC,SALISBURY,48,71
106,318500,35.8847,-77.5386,10.7,NC,TARBORO,49,72
107,321871,48.9075,-103.2944,595.0,ND,CROSBY,27,51
108,322188,46.8911,-102.8111,749.8,ND,DICKINSON,27,54
109,323621,47.9217,-97.0981,253.0,ND,GRAND-FORKS,29,50
110,324418,46.8844,-98.685,447.1,ND,JAMESTOWN,29,52
111,326947,48.9711,-97.2417,240.8,ND,PEMBINA,26,49
112,253185,41.4514,-97.7644,484.6,NE,GENOA,38,63
113,253365,40.94,-100.1522,787.9,NE,GOTHENBURG,37,64
114,254110,40.5208,-101.655,999.7,NE,IMPERIAL,36,64
115,254900,41.1489,-102.6361,1168.0,NE,LODGEPOLE,34,65
116,255565,40.5156,-98.9514,658.4,NE,MINDEN,38,64
117,256970,42.065,-100.2472,819.9,NE,PURDUM,34,62
118,273850,43.7031,-72.2847,183.8,NH,HANOVER,34,56
119,280325,39.3792,-74.4242,3.0,NJ,ATLANTIC-CITY,48,60
120,283029,40.5631,-74.8831,79.2,NJ,FLEMINGTON,40,63
121,291469,32.3478,-104.2225,951.0,NM,CARLSBAD,47,78
122,291515,33.6308,-105.8964,1647.4,NM,CARRIZOZO,40,71
123,291664,36.9178,-106.5781,2392.7,NM,CHAMA,25,58
124,291813,36.4661,-104.9456,1993.4,NM,CIMARRON,34,65
125,293265,32.7939,-108.1517,1872.1,NM,FT-BAYARD,40,69
126,294369,35.7783,-106.6872,1908.7,NM,JEMEZ-SPRINGS,36,66
127,299156,35.2006,-103.6867,1245.4,NM,TUCUMCARI,43,73
128,262573,40.8289,-115.7886,1533.1,NV,ELKO,29,62
129,269171,40.9017,-117.8081,1309.4,NV,WINNEMUCCA,32,65
130,303773,42.7747,-77.6083,274.9,NY,HEMLOCK,38,56
131,304555,44.2444,-73.9847,591.3,NY,LAKE-PLACID,29,52
132,309292,41.3906,-73.9608,97.5,NY,WEST-POINT,42,61
133,333375,40.1,-84.65,312.1,OH,GREENVILLE,40,60
134,333758,39.2,-83.6167,335.3,OH,HILLSBORO,42,62
135,336600,39.8386,-81.9167,310.9,OH,PHILO,41,62
136,338552,40.1,-83.7833,304.8,OH,URBANA,40,61
137,339312,40.7833,-81.9167,310.9,OH,WOOSTER,39,59
138,340017,34.7864,-96.685,309.4,OK,ADA,50,73
139,342912,36.4194,-97.8747,379.5,OK,ENID,48,71
140,344204,34.9894,-99.0525,474.3,OK,HOBART,48,73
141,350304,42.2128,-122.7144,532.2,OR,ASHLAND,39,65
142,352440,45.4539,-121.1303,405.4,OR,DUFUR,36,62
143,353770,45.4486,-122.1547,228.0,OR,PORTLAND,42,61
144,356073,43.4133,-124.2436,1.8,OR,NORTH-BEND,44,59
145,358997,45.5722,-117.5314,890.9,OR,WALLOWA,31,60
146,366233,41.0172,-80.3619,251.5,PA,NEW-CASTLE,38,62
147,368449,40.7933,-77.8672,356.6,PA,STATE-COLLEGE,40,59
148,368905,41.7511,-76.4431,231.6,PA,TOWANDA,37,59
149,369298,41.85,-79.15,368.8,PA,WARREN,37,58
150,374266,41.4906,-71.5414,34.7,RI,KINGSTON,39,59
151,380165,34.5283,-82.6606,243.8,SC,ANDERSON,50,73
152,381549,32.78,-79.9319,3.0,SC,CHARLESTON-CITY,59,73
153,381997,33.8314,-79.0558,6.1,SC,CONWAY,52,75
154,389350,34.9381,-81.0317,210.3,SC,WINTHROP,50,72
155,389469,32.68,-80.8417,7.6,SC,YEMASSEE,52,77
156,390020,45.4433,-98.4131,395.3,SD,ABERDEEN,31,55
157,391972,43.9611,-101.8606,735.8,SD,COTTONWOOD,32,61
158,392797,45.7644,-99.6353,566.9,SD,EUREKA,30,55
159,393832,44.5222,-99.455,576.1,SD,HIGHMORE,32,57
160,394516,43.9072,-99.8628,518.2,SD,KENNEBEC,34,61
161,401790,36.5467,-87.3567,116.4,TN,CLARKSVILLE,47,70
162,404561,35.6214,-88.8456,121.9,TN,JACKSON,48,70
163,405187,35.4139,-86.8086,239.9,TN,LEWISBURG,46,70
164,407884,36.4161,-82.9839,413.0,TN,ROGERSVILLE,45,69
165,410639,28.4575,-97.7061,77.7,TX,BEEVILLE,59,81
166,410902,29.7978,-98.7347,440.1,TX,BOERNE,53,77
167,411048,30.1592,-96.3972,95.4,TX,BRENHAM,57,79
168,412266,29.0567,-96.2319,21.3,TX,DANEVANG,59,80
