id,lat,lon,alt,state,name
121747,39.1978,-85.9211,189.3,IN,COLUMBUS
122149,40.6150,-86.6661,169.5,IN,DELPHI
123527,39.7858,-85.7611,263.7,IN,GREENFIELD
125237,38.7369,-85.3942,140.2,IN,MADISON
125337,40.5800,-85.6586,240.8,IN,MARION
126001,37.9286,-87.8956,108.8,IN,MT-VERNON
127125,38.3567,-87.5906,146.3,IN,PRINCETON
127522,39.7594,-87.2269,211.2,IN,ROCKVILLE
127646,39.6042,-85.4528,292.6,IN,RUSHVILLE
127935,38.9822,-85.9822,173.7,IN,SEYMOUR
129557,39.9961,-86.3542,289.0,IN,WHITESTOWN
140264,37.1550,-98.0283,408.4,KS,ANTHONY
140365,37.1942,-99.7633,600.5,KS,ASHLAND
141704,37.2706,-99.3272,634.9,KS,COLDWATER
141740,37.1764,-94.8397,275.8,KS,COLUMBUS
142401,37.8183,-96.8444,393.2,KS,EL-DORADO
142835,37.8428,-94.7086,257.6,KS,FT-SCOTT
143527,38.8586,-99.3358,612.6,KS,HAYS
143810,39.6703,-95.5225,313.9,KS,HORTON
143954,37.2364,-95.7003,245.4,KS,INDEPENDENCE
144464,37.9411,-101.2492,913.8,KS,LAKIN
144695,37.0222,-100.9294,863.8,KS,LIBERAL
145152,38.3772,-97.6097,463.3,KS,MCPHERSON
145856,39.7408,-99.8356,719.3,KS,NORTON
146128,38.6133,-95.2808,280.1,KS,OTTAWA
147093,39.7675,-101.8097,1024.7,KS,SAINT-FRANCIS
147271,38.4819,-100.9189,905.3,KS,SCOTT-CITY
147305,37.1317,-96.1861,274.3,KS,SEDAN
148495,39.0297,-99.8831,749.8,KS,WAKEENEY
150909,36.9647,-86.4239,160.9,KY,BOWLING-GREEN
152791,38.1167,-83.5500,207.3,KY,FARMERS
153430,37.2592,-85.5022,179.8,KY,GREENSBURG
154703,37.5108,-86.2892,189.0,KY,LEITCHFIELD
160098,31.3206,-92.4611,26.5,LA,ALEXANDRIA
160205,30.7094,-90.5250,51.8,LA,AMITE
161411,32.5133,-92.3478,54.9,LA,CALHOUN
162534,30.0717,-91.0275,9.1,LA,DONALDSONVILLE
163313,29.8233,-91.5442,3.7,LA,FRANKLIN
164700,30.2003,-92.6642,7.6,LA,JENNINGS
165026,30.2050,-91.9875,11.6,LA,LAFAYETTE
190120,42.3861,-72.5375,45.7,MA,AMHERST
190736,42.2122,-71.1136,192.0,MA,BLUE-HILL
194105,42.6992,-71.1658,15.2,MA,LAWRENCE
196486,41.9819,-70.6961,13.7,MA,PLYMOUTH-KINGSTON
186620,39.4133,-79.4000,737.6,MD,OAKLAND
188000,38.3650,-75.5892,3.0,MD,SALISBURY
172765,44.6889,-70.1567,128.0,ME,FARMINGTON
200032,41.9164,-84.0158,231.6,MI,ADRIAN
200146,43.3864,-84.6492,224.0,MI,ALMA
200230,42.2947,-83.7108,274.3,MI,ANN-ARBOR
200779,43.7072,-85.4822,283.5,MI,BIG-RAPIDS
201675,41.9622,-84.9925,299.9,MI,COLDWATER
202423,44.2839,-83.5036,178.6,MI,EAST-TAWAS
204090,45.7858,-88.0842,326.4,MI,IRON-MT-KINGSFORD
204104,46.4656,-90.1892,435.9,MI,IRONWOOD
206300,43.0161,-84.1800,222.5,MI,OWOSSO-WWTP
207690,42.4011,-86.2833,189.0,MI,SOUTH-HAVEN
210075,43.6064,-93.3019,374.9,MN,ALBERT-LEA
212698,43.6447,-94.4656,361.8,MN,FAIRMONT
213290,43.7047,-92.5644,411.5,MN,GRAND-MEADOW
214652,47.2467,-94.2228,396.8,MN,LEECH-LAKE
215400,45.1219,-95.9269,310.9,MN,MILAN
215615,45.8775,-93.3147,310.3,MN,MORA
215638,45.5903,-95.8747,347.5,MN,MORRIS
216360,46.9006,-95.0678,437.1,MN,PARK-RAPIDS
216547,46.6694,-94.1089,381.0,MN,PINE-RIVER-DAM
216565,44.0139,-96.3258,519.7,MN,PIPESTONE
217405,44.3222,-93.9656,259.1,MN,ST-PETER
218419,47.0258,-91.6653,190.5,MN,TWO-HARBORS
219046,43.7692,-94.1872,338.3,MN,WINNEBAGO
219249,44.2992,-92.6661,300.2,MN,ZUMBROTA
231037,39.4247,-93.1331,201.8,MO,BRUNSWICK
232289,36.6206,-90.8125,88.1,MO,DONIPHAN
234271,38.5850,-92.1825,204.2,MO,JEFFERSON-CITY
234705,37.4994,-94.2697,298.7,MO,LAMAR
234825,37.6850,-92.6936,389.8,MO,LEBANON
235027,37.3908,-93.9489,326.1,MO,LOCKWOOD
235253,37.3036,-89.9664,118.9,MO,MARBLE-HILL
235834,37.1528,-92.2636,442.0,MO,MTN-GROVE
235976,36.8639,-94.3600,308.2,MO,NEOSHO
238051,39.9714,-91.8872,210.3,MO,STEFFENVILLE
220021,33.8300,-88.5214,60.4,MS,ABERDEEN
220488,34.3061,-89.9806,67.1,MS,BATESVILLE
220955,34.6628,-88.5797,149.4,MS,BOONEVILLE
221094,31.5447,-90.4581,132.6,MS,BROOKHAVEN-CITY
221707,34.1864,-90.5572,52.7,MS,CLARKSDALE
223887,31.2547,-89.3392,117.3,MS,HATTIESBURG
223975,34.8161,-89.9853,115.8,MS,HERNANDO
224776,33.0583,-89.5797,125.0,MS,KOSCIUSKO
224939,31.6756,-89.1236,68.6,MS,LAUREL
225987,31.5519,-90.1058,58.2,MS,MONTICELLO
226177,31.5889,-91.3408,59.4,MS,NATCHEZ
227132,31.9850,-90.9719,36.6,MS,PORT-GIBSON
240780,45.8328,-109.9503,1249.7,MT,BIG-TIMBER
241044,45.6622,-111.0453,1497.5,MT,BOZEMAN
241552,47.2194,-111.7100,1024.1,MT,CASCADE
241722,48.5883,-109.2256,737.6,MT,CHINOOK
242173,48.6033,-112.3753,1169.8,MT,CUT-BANK
242409,45.2128,-112.6447,1593.5,MT,DILLON
242689,45.8903,-104.5461,1043.9,MT,EKALAKA
244345,45.9228,-108.2444,924.8,MT,HUNTLEY
244558,48.3042,-114.2636,901.3,MT,KALISPELL-GLACIER
245761,47.0575,-109.9514,1310.6,MT,MOCCASIN
246157,45.4856,-111.6325,1446.3,MT,NORRIS-MADISON
246918,45.1797,-109.2497,1718.2,MT,RED-LODGE
247286,47.3150,-114.0983,883.9,MT,SAINT-IGNATIUS
247382,47.4536,-104.3378,602.0,MT,SAVAGE
312635,36.0164,-76.5517,3.0,NC,EDENTON
313017,35.0583,-78.8583,29.3,NC,FAYETTEVILLE
314055,35.0536,-83.1892,1170.4,NC,HIGHLANDS
314938,35.9150,-81.5378,365.8,NC,LENOIR
315123,36.1028,-78.3039,79.2,NC,LOUISBURG
315771,34.9797,-80.5233,167.6,NC,MONROE
315838,35.7308,-81.6717,353.6,NC,MORGANTON
315890,36.4992,-80.6508,317.3,NC,MT-AIRY
317615,35.6836,-80.4822,213.4,NC,SALISBURY
318500,35.8847,-77.5386,10.7,NC,TARBORO
320941,48.8214,-100.4447,496.2,ND,BOTTINEAU
321871,48.9075,-103.2944,595.0,ND,CROSBY
322188,46.8911,-102.8111,749.8,ND,DICKINSON
323287,46.1581,-98.4000,437.4,ND,FULLERTON
323621,47.9217,-97.0981,253.0,ND,GRAND-FORKS
324418,46.8844,-98.6850,447.1,ND,JAMESTOWN
326255,46.5067,-99.7692,603.5,ND,NAPOLEON
326947,48.9711,-97.2417,240.8,ND,PEMBINA
328792,48.3706,-100.3908,451.1,ND,TOWNER
329445,48.6061,-100.2911,449.0,ND,WILLOW-CITY
251145,41.6675,-103.1042,1117.4,NE,BRIDGEPORT
251200,41.4083,-99.6750,762.0,NE,BROKEN-BOW
252020,40.6194,-96.9469,437.4,NE,CRETE
252205,41.2492,-97.1328,490.7,NE,DAVID-CITY
252820,40.0739,-97.1669,411.5,NE,FAIRBURY
252840,40.6422,-97.5928,499.9,NE,FAIRMONT
253175,40.5314,-97.5964,496.8,NE,GENEVA
253185,41.4514,-97.7644,484.6,NE,GENOA
253365,40.9400,-100.1522,787.9,NE,GOTHENBURG
253630,42.6167,-97.2608,417.6,NE,HARTINGTON
253735,40.1750,-97.5903,451.1,NE,HEBRON
254110,40.5208,-101.6550,999.7,NE,IMPERIAL
254900,41.1489,-102.6361,1168.0,NE,LODGEPOLE
255310,40.2156,-100.6203,796.1,NE,MC-COOK
255565,40.5156,-98.9514,658.4,NE,MINDEN
256135,42.0678,-97.9675,521.2,NE,OAKDALE
256570,40.1217,-96.1558,378.0,NE,PAWNEE-CITY
256970,42.0650,-100.2472,819.9,NE,PURDUM
257070,40.0978,-98.5197,524.3,NE,RED-CLOUD
258395,40.6825,-96.1886,335.3,NE,SYRACUSE
258480,41.7861,-96.2264,338.3,NE,TEKAMAH
258915,42.2667,-96.8617,423.7,NE,WAKEFIELD
272174,43.1500,-70.9500,24.4,NH,DURHAM
273850,43.7031,-72.2847,183.8,NH,HANOVER
274399,42.9389,-72.3244,158.5,NH,KEENE
280325,39.3792,-74.4242,3.0,NJ,ATLANTIC-CITY
283029,40.5631,-74.8831,79.2,NJ,FLEMINGTON
284229,39.8144,-74.7883,30.5,NJ,INDIAN-MILLS
291469,32.3478,-104.2225,951.0,NM,CARLSBAD
291515,33.6308,-105.8964,1647.4,NM,CARRIZOZO
291664,36.9178,-106.5781,2392.7,NM,CHAMA
291813,36.4661,-104.9456,1993.4,NM,CIMARRON
293265,32.7939,-108.1517,1872.1,NM,FT-BAYARD
294369,35.7783,-106.6872,1908.7,NM,JEMEZ-SPRINGS
297867,35.1086,-103.3283,1289.3,NM,SAN-JON
299156,35.2006,-103.6867,1245.4,NM,TUCUMCARI
262573,40.8289,-115.7886,1533.1,NV,ELKO
269171,40.9017,-117.8081,1309.4,NV,WINNEMUCCA
301966,44.7192,-73.7206,408.4,NY,DANNEMORA
303773,42.7747,-77.6083,274.9,NY,HEMLOCK
304102,43.7550,-74.2692,506.0,NY,INDIAN-LAKE
