id,lat,lon,alt,state,name
242689,45.8903,-104.5461,1043.9,MT,EKALAKA
244345,45.9228,-108.2444,924.8,MT,HUNTLEY
244558,48.3042,-114.2636,901.3,MT,KALISPELL-GLACIER
245761,47.0575,-109.9514,1310.6,MT,MOCCASIN
246918,45.1797,-109.2497,1718.2,MT,RED-LODGE
247382,47.4536,-104.3378,602.0,MT,SAVAGE
312635,36.0164,-76.5517,3.0,NC,EDENTON
313017,35.0583,-78.8583,29.3,NC,FAYETTEVILLE
314055,35.0536,-83.1892,1170.4,NC,HIGHLANDS
315123,36.1028,-78.3039,79.2,NC,LOUISBURG
317615,35.6836,-80.4822,213.4,NC,SALISBURY
318500,35.8847,-77.5386,10.7,NC,TARBORO
321871,48.9075,-103.2944,595.0,ND,CROSBY
322188,46.8911,-102.8111,749.8,ND,DICKINSON
323621,47.9217,-97.0981,253.0,ND,GRAND-FORKS
324418,46.8844,-98.6850,447.1,ND,JAMESTOWN
326947,48.9711,-97.2417,240.8,ND,PEMBINA
253185,41.4514,-97.7644,484.6,NE,GENOA
253365,40.9400,-100.1522,787.9,NE,GOTHENBURG
254110,40.5208,-101.6550,999.7,NE,IMPERIAL
254900,41.1489,-102.6361,1168.0,NE,LODGEPOLE
255565,40.5156,-98.9514,658.4,NE,MINDEN
256970,42.0650,-100.2472,819.9,NE,PURDUM
273850,43.7031,-72.2847,183.8,NH,HANOVER
280325,39.3792,-74.4242,3.0,NJ,ATLANTIC-CITY
283029,40.5631,-74.8831,79.2,NJ,FLEMINGTON
291469,32.3478,-104.2225,951.0,NM,CARLSBAD
291515,33.6308,-105.8964,1647.4,NM,CARRIZOZO
291664,36.9178,-106.5781,2392.7,NM,CHAMA
291813,36.4661,-104.9456,1993.4,NM,CIMARRON
293265,32.7939,-108.1517,1872.1,NM,FT-BAYARD
294369,35.7783,-106.6872,1908.7,NM,JEMEZ-SPRINGS
299156,35.2006,-103.6867,1245.4,NM,TUCUMCARI
262573,40.8289,-115.7886,1533.1,NV,ELKO
269171,40.9017,-117.8081,1309.4,NV,WINNEMUCCA
303773,42.7747,-77.6083,274.9,NY,HEMLOCK
304555,44.2444,-73.9847,591.3,NY,LAKE-PLACID
309292,41.3906,-73.9608,97.5,NY,WEST-POINT
333375,40.1000,-84.6500,312.1,OH,GREENVILLE
333758,39.2000,-83.6167,335.3,OH,HILLSBORO
336600,39.8386,-81.9167,310.9,OH,PHILO
338552,40.1000,-83.7833,304.8,OH,URBANA
339312,40.7833,-81.9167,310.9,OH,WOOSTER
340017,34.7864,-96.6850,309.4,OK,ADA
342912,36.4194,-97.8747,379.5,OK,ENID
344204,34.9894,-99.0525,474.3,OK,HOBART
350304,42.2128,-122.7144,532.2,OR,ASHLAND
352440,45.4539,-121.1303,405.4,OR,DUFUR
353770,45.4486,-122.1547,228.0,OR,PORTLAND
356073,43.4133,-124.2436,1.8,OR,NORTH-BEND
358997,45.5722,-117.5314,890.9,OR,WALLOWA
366233,41.0172,-80.3619,251.5,PA,NEW-CASTLE
368449,40.7933,-77.8672,356.6,PA,STATE-COLLEGE
368905,41.7511,-76.4431,231.6,PA,TOWANDA
369298,41.8500,-79.1500,368.8,PA,WARREN
374266,41.4906,-71.5414,34.7,RI,KINGSTON
380165,34.5283,-82.6606,243.8,SC,ANDERSON
381549,32.7800,-79.9319,3.0,SC,CHARLESTON-CITY
381997,33.8314,-79.0558,6.1,SC,CONWAY
389350,34.9381,-81.0317,210.3,SC,WINTHROP
389469,32.6800,-80.8417,7.6,SC,YEMASSEE
390020,45.4433,-98.4131,395.3,SD,ABERDEEN
391972,43.9611,-101.8606,735.8,SD,COTTONWOOD
392797,45.7644,-99.6353,566.9,SD,EUREKA
393832,44.5222,-99.4550,576.1,SD,HIGHMORE
394516,43.9072,-99.8628,518.2,SD,KENNEBEC
401790,36.5467,-87.3567,116.4,TN,CLARKSVILLE
404561,35.6214,-88.8456,121.9,TN,JACKSON
405187,35.4139,-86.8086,239.9,TN,LEWISBURG
407884,36.4161,-82.9839,413.0,TN,ROGERSVILLE
410639,28.4575,-97.7061,77.7,TX,BEEVILLE
410902,29.7978,-98.7347,440.1,TX,BOERNE
411048,30.1592,-96.3972,95.4,TX,BRENHAM
412266,29.0567,-96.2319,21.3,TX,DANEVANG
413183,29.6778,-97.1111,158.5,TX,FLATONIA
413992,33.1578,-99.7456,487.7,TX,HASKELL
415618,32.5403,-94.3508,107.3,TX,MARSHALL
417079,34.1892,-101.7022,1027.2,TX,PLAINVIEW
422828,38.9664,-112.3278,1560.6,UT,FILLMORE
423809,40.4917,-111.4261,1703.8,UT,HEBER
